community	medium	size	mip	mro
comm_32_100	complete	32	33	0.2793458781362007
comm_32_101	complete	32	35	0.30723967636860355
comm_32_102	complete	32	37	0.2860545905707196
comm_32_103	complete	32	37	0.293045664013406
comm_32_104	complete	32	35	0.2887864823348694
comm_32_105	complete	32	37	0.285453438831406
comm_32_106	complete	32	38	0.29525374974316826
comm_32_107	complete	32	39	0.275811671364443
comm_32_108	complete	32	36	0.27695246179966043
comm_32_109	complete	32	37	0.2792976725193957
comm_32_110	complete	32	36	0.3077736647276573
comm_32_111	complete	32	36	0.2927040484953453
comm_32_112	complete	32	35	0.2810888595754887
comm_32_113	complete	32	35	0.28446715639305864
comm_32_114	complete	32	37	0.27474215492648674
comm_32_115	complete	32	37	0.30533759566017626
comm_32_116	complete	32	34	0.2894265232974911
comm_32_117	complete	32	36	0.2816250137619729
comm_32_118	complete	32	35	0.2827017433970143
comm_32_119	complete	32	38	0.2940243257535695
comm_32_120	complete	32	37	0.29885282870869695
comm_32_121	complete	32	35	0.2888071011041351
comm_32_122	complete	32	37	0.29724915891549575
comm_32_123	complete	32	38	0.28321487151448876
comm_32_124	complete	32	37	0.2907585004359198
comm_32_125	complete	32	37	0.29723502304147464
comm_32_126	complete	32	38	0.2791440434366017
comm_32_127	complete	32	36	0.28017144146176404
comm_32_128	complete	32	38	0.28326612903225806
comm_32_129	complete	32	36	0.3057071960297767
comm_32_130	complete	32	39	0.28309758827719544
comm_32_131	complete	32	37	0.2874083006732992
comm_32_132	complete	32	40	0.29154757043691304
comm_32_133	complete	32	38	0.28987455197132617
comm_32_134	complete	32	37	0.29193012538849
comm_32_135	complete	32	38	0.29828753484667464
comm_32_136	complete	32	35	0.29053907772245074
comm_32_137	complete	32	33	0.29063987308302486
comm_32_138	complete	32	36	0.2790889415644646
comm_32_139	complete	32	38	0.29118921521425134
comm_32_140	complete	32	35	0.2809767862526379
comm_32_141	complete	32	37	0.283088954056696
comm_32_142	complete	32	36	0.2892752408881441
comm_32_143	complete	32	40	0.2939975500204165
comm_32_144	complete	32	32	0.29429960229783475
comm_32_145	complete	32	38	0.2701338599956112
comm_32_146	complete	32	36	0.2619559651817716
comm_32_147	complete	32	37	0.27543424317617865
comm_32_148	complete	32	39	0.28771270487524797
comm_32_149	complete	32	33	0.29717882432280546
