community	medium	size	mip	mro
comm_17_250	complete	17	30	0.28345959595959597
comm_17_251	complete	17	32	0.26413690476190477
comm_17_252	complete	17	31	0.26802884615384615
comm_17_253	complete	17	27	0.264945652173913
comm_17_254	complete	17	28	0.26766304347826086
comm_17_255	complete	17	23	0.2946428571428571
comm_17_256	complete	17	30	0.28743961352657005
comm_17_257	complete	17	27	0.2758620689655173
comm_17_258	complete	17	27	0.2766927083333333
comm_17_259	complete	17	27	0.28891509433962265
comm_17_260	complete	17	31	0.27144607843137253
comm_17_261	complete	17	30	0.27963917525773196
comm_17_262	complete	17	29	0.28525641025641024
comm_17_263	complete	17	28	0.28409090909090906
comm_17_264	complete	17	29	0.25142045454545453
comm_17_265	complete	17	29	0.2824585635359116
comm_17_266	complete	17	31	0.27729885057471265
comm_17_267	complete	17	30	0.273840206185567
comm_17_268	complete	17	29	0.2625
comm_17_269	complete	17	26	0.2767857142857143
comm_17_270	complete	17	33	0.28465346534653463
comm_17_271	complete	17	29	0.2722972972972973
comm_17_272	complete	17	35	0.27516233766233766
comm_17_273	complete	17	31	0.2935049019607843
comm_17_274	complete	17	34	0.28513824884792627
comm_17_275	complete	17	28	0.2513888888888889
comm_17_276	complete	17	31	0.293218085106383
comm_17_277	complete	17	32	0.2705026455026455
comm_17_278	complete	17	35	0.28081395348837207
comm_17_279	complete	17	30	0.2838235294117647
comm_17_280	complete	17	31	0.27409638554216864
comm_17_281	complete	17	27	0.25646551724137934
comm_17_282	complete	17	34	0.27738095238095234
comm_17_283	complete	17	31	0.27979274611398963
comm_17_284	complete	17	30	0.30060975609756097
comm_17_285	complete	17	26	0.27297297297297296
comm_17_286	complete	17	25	0.2801724137931035
comm_17_287	complete	17	24	0.2754360465116279
comm_17_288	complete	17	30	0.2807788944723618
comm_17_289	complete	17	29	0.2786885245901639
comm_17_290	complete	17	25	0.27979651162790703
comm_17_291	complete	17	29	0.2712628865979381
comm_17_292	complete	17	28	0.2639664804469274
comm_17_293	complete	17	28	0.28465909090909086
comm_17_294	complete	17	24	0.2753164556962025
comm_17_295	complete	17	30	0.2792553191489362
comm_17_296	complete	17	32	0.25973053892215564
comm_17_297	complete	17	30	0.27569444444444446
comm_17_298	complete	17	31	0.2769230769230769
comm_17_299	complete	17	32	0.27525906735751293
