community	medium	size	mip	mro
comm_4_150	complete	4	1	0.47619047619047616
comm_4_151	complete	4	2	0.45161290322580644
comm_4_152	complete	4	7	0.34567901234567905
comm_4_153	complete	4	3	0.48
comm_4_154	complete	4	3	0.2619047619047619
comm_4_155	complete	4	8	0.3125
comm_4_156	complete	4	5	n/a
comm_4_157	complete	4	4	0.3783783783783784
comm_4_158	complete	4	5	0.2857142857142857
comm_4_159	complete	4	6	0.3111111111111111
comm_4_160	complete	4	5	0.28205128205128205
comm_4_161	complete	4	6	0.37254901960784315
comm_4_162	complete	4	3	0.35714285714285715
comm_4_163	complete	4	9	0.30158730158730157
comm_4_164	complete	4	10	0.3870967741935484
comm_4_165	complete	4	6	0.2882882882882883
comm_4_166	complete	4	4	0.3218390804597701
comm_4_167	complete	4	12	0.2522522522522523
comm_4_168	complete	4	3	0.42592592592592593
comm_4_169	complete	4	3	0.4691358024691358
comm_4_170	complete	4	5	0.3111111111111111
comm_4_171	complete	4	5	0.45045045045045046
comm_4_172	complete	4	5	0.4117647058823529
comm_4_173	complete	4	5	0.38095238095238093
comm_4_174	complete	4	9	0.2833333333333333
comm_4_175	complete	4	5	0.25
comm_4_176	complete	4	6	0.40476190476190477
comm_4_177	complete	4	6	0.26666666666666666
comm_4_178	complete	4	4	0.35714285714285715
comm_4_179	complete	4	12	0.3252032520325203
comm_4_180	complete	4	8	0.3870967741935484
comm_4_181	complete	4	6	0.3238095238095238
comm_4_182	complete	4	11	0.2631578947368421
comm_4_183	complete	4	3	0.2549019607843137
comm_4_184	complete	4	5	0.375
comm_4_185	complete	4	5	0.38095238095238093
comm_4_186	complete	4	3	0.22916666666666666
comm_4_187	complete	4	8	0.3448275862068966
comm_4_188	complete	4	14	0.22807017543859648
comm_4_189	complete	4	5	0.35714285714285715
comm_4_190	complete	4	8	0.3541666666666667
comm_4_191	complete	4	11	0.34234234234234234
comm_4_192	complete	4	5	0.46846846846846846
comm_4_193	complete	4	4	0.35714285714285715
comm_4_194	complete	4	5	0.28205128205128205
comm_4_195	complete	4	5	0.22988505747126436
comm_4_196	complete	4	8	0.4090909090909091
comm_4_197	complete	4	6	0.3655913978494624
comm_4_198	complete	4	5	0.38095238095238093
comm_4_199	complete	4	9	0.20512820512820512
