community	medium	size	mip	mro
comm_17_700	complete	17	24	0.30800653594771243
comm_17_701	complete	17	26	0.2866666666666666
comm_17_702	complete	17	26	0.2791095890410959
comm_17_703	complete	17	24	0.29838709677419356
comm_17_704	complete	17	26	0.3180379746835443
comm_17_705	complete	17	24	0.3146853146853147
comm_17_706	complete	17	23	0.3017857142857143
comm_17_707	complete	17	24	0.30697278911564624
comm_17_708	complete	17	26	0.29523026315789475
comm_17_709	complete	17	23	0.3079044117647059
comm_17_710	complete	17	25	0.2897350993377483
comm_17_711	complete	17	26	0.2845394736842105
comm_17_712	complete	17	25	0.304635761589404
comm_17_713	complete	17	26	0.3029801324503311
comm_17_714	complete	17	25	0.2944078947368421
comm_17_715	complete	17	25	0.28750000000000003
comm_17_716	complete	17	26	0.3190789473684211
comm_17_717	complete	17	26	0.31085526315789475
comm_17_718	complete	17	24	0.31770833333333337
comm_17_719	complete	17	26	0.2890070921985815
comm_17_720	complete	17	25	0.27960526315789475
comm_17_721	complete	17	25	0.3017857142857143
comm_17_722	complete	17	25	0.2869127516778523
comm_17_723	complete	17	23	0.3068181818181818
comm_17_724	complete	17	26	0.2808219178082192
comm_17_725	complete	17	22	0.3223214285714286
comm_17_726	complete	17	25	0.2944078947368421
comm_17_727	complete	17	25	0.29856687898089174
comm_17_728	complete	17	25	0.2903225806451613
comm_17_729	complete	17	25	0.32401315789473684
comm_17_730	complete	17	26	0.2856012658227848
comm_17_731	complete	17	23	0.299496644295302
comm_17_732	complete	17	27	0.3060344827586207
comm_17_733	complete	17	24	0.3125
comm_17_734	complete	17	24	0.32080419580419584
comm_17_735	complete	17	22	0.2998251748251748
comm_17_736	complete	17	26	0.2943037974683544
comm_17_737	complete	17	23	0.3088235294117647
comm_17_738	complete	17	26	0.28969594594594594
comm_17_739	complete	17	24	0.2825
comm_17_740	complete	17	23	0.29758064516129035
comm_17_741	complete	17	21	0.3133928571428572
comm_17_742	complete	17	23	0.2911073825503355
comm_17_743	complete	17	19	0.3225806451612903
comm_17_744	complete	17	25	0.3050373134328358
comm_17_745	complete	17	23	0.3037037037037037
comm_17_746	complete	17	23	0.3151785714285715
comm_17_747	complete	17	24	0.30839416058394165
comm_17_748	complete	17	24	0.30395683453237415
comm_17_749	complete	17	24	0.2922297297297297
