community	medium	size	mip	mro
comm_7_850	complete	7	2	0.41441441441441446
comm_7_851	complete	7	3	0.5937500000000001
comm_7_852	complete	7	14	0.2901960784313726
comm_7_853	complete	7	5	0.35658914728682173
comm_7_854	complete	7	8	0.4035087719298246
comm_7_855	complete	7	4	0.40625000000000006
comm_7_856	complete	7	5	0.3904761904761905
comm_7_857	complete	7	6	0.4774774774774775
comm_7_858	complete	7	3	0.5166666666666667
comm_7_859	complete	7	5	0.41414141414141414
comm_7_860	complete	7	4	0.4954954954954955
comm_7_861	complete	7	3	0.537037037037037
comm_7_862	complete	7	24	0.28455284552845533
comm_7_863	complete	7	6	0.49166666666666664
comm_7_864	complete	7	5	0.4
comm_7_865	complete	7	8	0.5
comm_7_866	complete	7	3	0.46491228070175433
comm_7_867	complete	7	9	0.3739837398373984
comm_7_868	complete	7	10	0.3947368421052631
comm_7_869	complete	7	5	0.3684210526315789
comm_7_870	complete	7	14	0.3092369477911646
comm_7_871	complete	7	4	0.41880341880341887
comm_7_872	complete	7	26	0.2801418439716312
comm_7_873	complete	7	6	0.4583333333333333
comm_7_874	complete	7	4	0.5315315315315315
comm_7_875	complete	7	5	0.48571428571428565
comm_7_876	complete	7	10	0.42105263157894735
comm_7_877	complete	7	5	0.3902439024390244
comm_7_878	complete	7	24	0.25833333333333336
comm_7_879	complete	7	5	0.43859649122807015
comm_7_880	complete	7	4	0.4864864864864865
comm_7_881	complete	7	5	0.411764705882353
comm_7_882	complete	7	5	0.5047619047619047
comm_7_883	complete	7	9	0.6052631578947368
comm_7_884	complete	7	5	0.47222222222222215
comm_7_885	complete	7	6	0.37037037037037035
comm_7_886	complete	7	5	0.4684684684684685
comm_7_887	complete	7	4	0.41666666666666663
comm_7_888	complete	7	3	0.5405405405405406
comm_7_889	complete	7	10	0.41269841269841273
comm_7_890	complete	7	4	0.38596491228070173
comm_7_891	complete	7	4	0.5853658536585366
comm_7_892	complete	7	1	0.5353535353535354
comm_7_893	complete	7	3	0.42342342342342343
comm_7_894	complete	7	4	0.4083333333333333
comm_7_895	complete	7	5	0.5185185185185185
comm_7_896	complete	7	10	0.4736842105263158
comm_7_897	complete	7	7	0.543859649122807
comm_7_898	complete	7	5	0.5098039215686275
comm_7_899	complete	7	6	0.3904761904761905
