community	medium	size	mip	mro
comm_20_650	complete	20	13	0.43463497453310695
comm_20_651	complete	20	16	0.44167118827997837
comm_20_652	complete	20	12	0.3519736842105263
comm_20_653	complete	20	14	0.40279269602577866
comm_20_654	complete	20	13	0.4725643896976483
comm_20_655	complete	20	12	0.4047748236570809
comm_20_656	complete	20	12	0.45826687931951093
comm_20_657	complete	20	13	0.43487506645401375
comm_20_658	complete	20	14	0.4093567251461988
comm_20_659	complete	20	15	0.4319045035268584
comm_20_660	complete	20	20	0.39849624060150374
comm_20_661	complete	20	13	0.42105263157894735
comm_20_662	complete	20	13	0.48040313549832026
comm_20_663	complete	20	12	0.4004340748779165
comm_20_664	complete	20	12	0.39395518499218346
comm_20_665	complete	20	12	0.3753322700691122
comm_20_666	complete	20	14	0.4359383306751728
comm_20_667	complete	20	13	0.4536842105263158
comm_20_668	complete	20	8	0.5345949142519218
comm_20_669	complete	20	13	0.43733043950081396
comm_20_670	complete	20	13	0.44708545557441987
comm_20_671	complete	20	14	0.4438415626695605
comm_20_672	complete	20	17	0.35157894736842105
comm_20_673	complete	20	14	0.44421052631578944
comm_20_674	complete	20	15	0.43981240229286084
comm_20_675	complete	20	8	0.5299043062200957
comm_20_676	complete	20	11	0.45394736842105265
comm_20_677	complete	20	13	0.4774056353003721
comm_20_678	complete	20	16	0.37254901960784315
comm_20_679	complete	20	13	0.38632664134563216
comm_20_680	complete	20	16	0.3952738990332975
comm_20_681	complete	20	18	0.42964554242749725
comm_20_682	complete	20	14	0.472610096670247
comm_20_683	complete	20	11	0.37550607287449395
comm_20_684	complete	20	13	0.4827219564061669
comm_20_685	complete	20	12	0.44456886898096304
comm_20_686	complete	20	14	0.44631578947368417
comm_20_687	complete	20	15	0.38558352402746
comm_20_688	complete	20	14	0.4447884416924665
comm_20_689	complete	20	15	0.46081871345029235
comm_20_690	complete	20	12	0.4123711340206186
comm_20_691	complete	20	13	0.43545706371191134
comm_20_692	complete	20	11	0.3903934593765968
comm_20_693	complete	20	12	0.38048245614035087
comm_20_694	complete	20	13	0.37737961926091823
comm_20_695	complete	20	20	0.40814299900695133
comm_20_696	complete	20	13	0.4550438596491228
comm_20_697	complete	20	20	0.40171858216970996
comm_20_698	complete	20	8	0.44377990430622005
comm_20_699	complete	20	14	0.45923632610939114
