community	medium	size	mip	mro
comm_21_300	complete	21	11	0.4647058823529412
comm_21_301	complete	21	11	0.4714285714285714
comm_21_302	complete	21	10	0.5410526315789475
comm_21_303	complete	21	18	0.39904761904761904
comm_21_304	complete	21	14	0.41683168316831687
comm_21_305	complete	21	14	0.38240740740740736
comm_21_306	complete	21	13	0.4598039215686275
comm_21_307	complete	21	12	0.4363636363636363
comm_21_308	complete	21	9	0.5120879120879122
comm_21_309	complete	21	14	0.3781818181818182
comm_21_310	complete	21	13	0.4819047619047619
comm_21_311	complete	21	12	0.49411764705882355
comm_21_312	complete	21	13	0.3952380952380953
comm_21_313	complete	21	8	0.5170212765957447
comm_21_314	complete	21	12	0.4263157894736842
comm_21_315	complete	21	13	0.36132075471698116
comm_21_316	complete	21	8	0.4946808510638298
comm_21_317	complete	21	12	0.40865384615384615
comm_21_318	complete	21	12	0.4606060606060606
comm_21_319	complete	21	13	0.475
comm_21_320	complete	21	12	0.46534653465346537
comm_21_321	complete	21	13	0.3626262626262626
comm_21_322	complete	21	14	0.3636363636363636
comm_21_323	complete	21	8	0.5053763440860215
comm_21_324	complete	21	13	0.3474226804123712
comm_21_325	complete	21	13	0.422
comm_21_326	complete	21	10	0.48265306122448975
comm_21_327	complete	21	12	0.45299999999999996
comm_21_328	complete	21	15	0.43490566037735856
comm_21_329	complete	21	13	0.46990291262135914
comm_21_330	complete	21	14	0.4277227722772277
comm_21_331	complete	21	11	0.4950980392156863
comm_21_332	complete	21	14	0.4182692307692308
comm_21_333	complete	21	13	0.4723809523809524
comm_21_334	complete	21	12	0.3760416666666667
comm_21_335	complete	21	18	0.3760416666666667
comm_21_336	complete	21	14	0.43917525773195876
comm_21_337	complete	21	13	0.41165048543689314
comm_21_338	complete	21	11	0.44646464646464645
comm_21_339	complete	21	13	0.35979381443298974
comm_21_340	complete	21	13	0.42038834951456305
comm_21_341	complete	21	15	0.4673076923076923
comm_21_342	complete	21	15	0.4108910891089109
comm_21_343	complete	21	12	0.402803738317757
comm_21_344	complete	21	14	0.36372549019607847
comm_21_345	complete	21	15	0.33396226415094343
comm_21_346	complete	21	16	0.385
comm_21_347	complete	21	13	0.4524271844660194
comm_21_348	complete	21	11	0.401
comm_21_349	complete	21	7	0.5222222222222223
