community	medium	size	mip	mro
comm_15_950	complete	15	12	0.4942084942084942
comm_15_951	complete	15	15	0.37593984962406013
comm_15_952	complete	15	15	0.43233082706766923
comm_15_953	complete	15	10	0.41448692152917505
comm_15_954	complete	15	13	0.4552380952380952
comm_15_955	complete	15	9	0.4726890756302521
comm_15_956	complete	15	8	0.46268656716417916
comm_15_957	complete	15	9	0.39530332681017616
comm_15_958	complete	15	10	0.44952380952380955
comm_15_959	complete	15	15	0.38404452690166974
comm_15_960	complete	15	10	0.4247104247104247
comm_15_961	complete	15	7	0.43055555555555564
comm_15_962	complete	15	11	0.45787545787545786
comm_15_963	complete	15	7	0.4596273291925466
comm_15_964	complete	15	11	0.4325396825396826
comm_15_965	complete	15	12	0.42857142857142855
comm_15_966	complete	15	11	0.43942133815551543
comm_15_967	complete	15	13	0.45472837022132795
comm_15_968	complete	15	10	0.4401544401544401
comm_15_969	complete	15	13	0.3937728937728937
comm_15_970	complete	15	10	0.4783549783549783
comm_15_971	complete	15	9	0.4305283757338552
comm_15_972	complete	15	11	0.4723809523809524
comm_15_973	complete	15	8	0.4392324093816631
comm_15_974	complete	15	9	0.4207436399217221
comm_15_975	complete	15	11	0.4990215264187867
comm_15_976	complete	15	8	0.49010989010989015
comm_15_977	complete	15	13	0.47619047619047616
comm_15_978	complete	15	9	0.4747252747252747
comm_15_979	complete	15	14	0.39334637964774954
comm_15_980	complete	15	13	0.4228571428571429
comm_15_981	complete	15	10	0.3821428571428571
comm_15_982	complete	15	9	0.45596868884540126
comm_15_983	complete	15	7	0.40476190476190477
comm_15_984	complete	15	10	0.43283582089552236
comm_15_985	complete	15	10	0.4244306418219462
comm_15_986	complete	15	10	0.41269841269841273
comm_15_987	complete	15	8	0.4657534246575343
comm_15_988	complete	15	9	0.40993788819875776
comm_15_989	complete	15	8	0.4245472837022133
comm_15_990	complete	15	9	0.4725274725274725
comm_15_991	complete	15	11	0.40816326530612246
comm_15_992	complete	15	9	0.42052313883299797
comm_15_993	complete	15	12	0.3784786641929499
comm_15_994	complete	15	8	0.4265593561368209
comm_15_995	complete	15	17	0.36062717770034847
comm_15_996	complete	15	8	0.4541577825159914
comm_15_997	complete	15	13	0.42293233082706766
comm_15_998	complete	15	12	0.46379647749510766
comm_15_999	complete	15	9	0.4473684210526316
