community	medium	size	mip	mro
comm_39_600	complete	39	37	0.2961858086511826
comm_39_601	complete	39	31	0.33786078098471983
comm_39_602	complete	39	27	0.38699690402476783
comm_39_603	complete	39	29	0.33451216975244435
comm_39_604	complete	39	30	0.3627738875084707
comm_39_605	complete	39	33	0.29850456399300834
comm_39_606	complete	39	36	0.2949523980599964
comm_39_607	complete	39	38	0.32941176470588235
comm_39_608	complete	39	31	0.34364120417775956
comm_39_609	complete	39	41	0.3503633560889672
comm_39_610	complete	39	42	0.31787953638609157
comm_39_611	complete	39	30	0.3764030930406585
comm_39_612	complete	39	33	0.31558226274347284
comm_39_613	complete	39	35	0.33474490824763053
comm_39_614	complete	39	30	0.3676545733265202
comm_39_615	complete	39	38	0.3439779223339247
comm_39_616	complete	39	34	0.33815224757171897
comm_39_617	complete	39	29	0.3954611298889426
comm_39_618	complete	39	37	0.3239687055476529
comm_39_619	complete	39	40	0.2758563074352548
comm_39_620	complete	39	36	0.32149866190900983
comm_39_621	complete	39	30	0.3378066680645838
comm_39_622	complete	39	29	0.42050151556902726
comm_39_623	complete	39	35	0.3053328685953294
comm_39_624	complete	39	33	0.3749160134378499
comm_39_625	complete	39	36	0.32296650717703346
comm_39_626	complete	39	37	0.2871723033820292
comm_39_627	complete	39	31	0.3534145280556764
comm_39_628	complete	39	35	0.29394632827127104
comm_39_629	complete	39	45	0.2979049565661727
comm_39_630	complete	39	36	0.3257467994310099
comm_39_631	complete	39	35	0.30064369556985987
comm_39_632	complete	39	32	0.37251689535121857
comm_39_633	complete	39	31	0.3302942395358475
comm_39_634	complete	39	34	0.3311125916055963
comm_39_635	complete	39	n/a	0.2833599149388623
comm_39_636	complete	39	28	0.3075379125780553
comm_39_637	complete	39	35	0.328103277060576
comm_39_638	complete	39	33	0.3516369664318276
comm_39_639	complete	39	36	0.3192307692307692
comm_39_640	complete	39	44	0.3341687552213868
comm_39_641	complete	39	36	0.3059210526315789
comm_39_642	complete	39	40	0.30745929572131764
comm_39_643	complete	39	37	0.2882105263157895
comm_39_644	complete	39	34	0.3437629506837961
comm_39_645	complete	39	33	0.336306868867083
comm_39_646	complete	39	40	0.3102398854278554
comm_39_647	complete	39	32	0.34996854686517087
comm_39_648	complete	39	34	0.3137254901960784
comm_39_649	complete	39	32	0.36192905170415024
