community	medium	size	mip	mro
comm_29_50	complete	29	29	0.36556982343499195
comm_29_51	complete	29	33	0.3341404358353511
comm_29_52	complete	29	29	0.3460884353741497
comm_29_53	complete	29	20	0.39980824544582927
comm_29_54	complete	29	32	0.2924812030075188
comm_29_55	complete	29	28	0.4032549728752261
comm_29_56	complete	29	25	0.32467532467532473
comm_29_57	complete	29	28	0.33080606544293695
comm_29_58	complete	29	32	0.3225218658892128
comm_29_59	complete	29	31	0.3495670995670995
comm_29_60	complete	29	24	0.42988606485539
comm_29_61	complete	29	28	0.380806310254163
comm_29_62	complete	29	26	0.3240327380952381
comm_29_63	complete	29	35	0.2593537414965986
comm_29_64	complete	29	36	0.3197903014416776
comm_29_65	complete	29	28	0.373015873015873
comm_29_66	complete	29	25	0.42223161453930685
comm_29_67	complete	29	33	0.3114406779661017
comm_29_68	complete	29	25	0.40834021469859616
comm_29_69	complete	29	28	0.3503039513677812
comm_29_70	complete	29	31	0.3312883435582822
comm_29_71	complete	29	n/a	0.29004329004329005
comm_29_72	complete	29	30	0.32159945317840055
comm_29_73	complete	29	30	0.31363306744017405
comm_29_74	complete	29	31	0.3494623655913978
comm_29_75	complete	29	29	0.31486880466472306
comm_29_76	complete	29	34	0.35254596888260253
comm_29_77	complete	29	31	0.29931972789115646
comm_29_78	complete	29	34	0.3118131868131868
comm_29_79	complete	29	20	0.45054945054945056
comm_29_80	complete	29	27	0.32711038961038963
comm_29_81	complete	29	38	0.33035714285714285
comm_29_82	complete	29	39	0.31370656370656375
comm_29_83	complete	29	32	0.3105939004815409
comm_29_84	complete	29	26	0.3743980738362761
comm_29_85	complete	29	32	0.3460714285714286
comm_29_86	complete	29	27	0.3867694805194805
comm_29_87	complete	29	36	0.2969111969111969
comm_29_88	complete	29	27	0.34627329192546585
comm_29_89	complete	29	24	0.4600563909774436
comm_29_90	complete	29	40	0.2664170506912443
comm_29_91	complete	29	21	0.39766081871345027
comm_29_92	complete	29	29	0.3557692307692308
comm_29_93	complete	29	24	0.36031746031746037
comm_29_94	complete	29	31	0.3179840464104423
comm_29_95	complete	29	28	0.3946428571428571
comm_29_96	complete	29	29	0.3132704858593184
comm_29_97	complete	29	23	0.41184448462929474
comm_29_98	complete	29	31	0.3344537815126051
comm_29_99	complete	29	26	0.38256658595641646
