community	medium	size	mip	mro
comm_13_950	complete	13	12	0.5059523809523809
comm_13_951	complete	13	17	0.36342592592592593
comm_13_952	complete	13	13	0.3722943722943723
comm_13_953	complete	13	11	0.4293785310734463
comm_13_954	complete	13	10	0.5
comm_13_955	complete	13	5	0.5148809523809524
comm_13_956	complete	13	21	0.32007575757575757
comm_13_957	complete	13	11	0.5156249999999999
comm_13_958	complete	13	5	0.41794871794871796
comm_13_959	complete	13	20	0.33333333333333337
comm_13_960	complete	13	16	0.38683127572016457
comm_13_961	complete	13	17	0.38497652582159625
comm_13_962	complete	13	15	0.39583333333333337
comm_13_963	complete	13	11	0.4125683060109289
comm_13_964	complete	13	20	0.3371647509578544
comm_13_965	complete	13	20	0.3926940639269407
comm_13_966	complete	13	19	0.40170940170940167
comm_13_967	complete	13	18	0.3377777777777778
comm_13_968	complete	13	15	0.36240310077519383
comm_13_969	complete	13	16	0.43555555555555553
comm_13_970	complete	13	12	0.4726775956284153
comm_13_971	complete	13	21	0.28712871287128716
comm_13_972	complete	13	12	0.41203703703703703
comm_13_973	complete	13	22	0.2783171521035599
comm_13_974	complete	13	14	0.3514056224899598
comm_13_975	complete	13	8	0.46610169491525427
comm_13_976	complete	13	7	0.48305084745762716
comm_13_977	complete	13	11	0.400462962962963
comm_13_978	complete	13	14	0.4141414141414142
comm_13_979	complete	13	8	0.4098360655737705
comm_13_980	complete	13	7	0.5462962962962963
comm_13_981	complete	13	15	0.35443037974683544
comm_13_982	complete	13	10	0.4696969696969697
comm_13_983	complete	13	15	0.38125
comm_13_984	complete	13	6	0.44166666666666665
comm_13_985	complete	13	13	0.42237442922374435
comm_13_986	complete	13	19	0.30303030303030304
comm_13_987	complete	13	23	0.331140350877193
comm_13_988	complete	13	20	0.35390946502057613
comm_13_989	complete	13	13	0.40714285714285714
comm_13_990	complete	13	13	0.4098360655737705
comm_13_991	complete	13	15	0.39436619718309857
comm_13_992	complete	13	7	0.5327380952380952
comm_13_993	complete	13	17	0.38513513513513514
comm_13_994	complete	13	21	0.3489583333333333
comm_13_995	complete	13	12	0.3923076923076923
comm_13_996	complete	13	9	0.4220430107526882
comm_13_997	complete	13	20	0.3433333333333333
comm_13_998	complete	13	5	0.5136612021857923
comm_13_999	complete	13	30	0.31666666666666665
