community	medium	size	mip	mro
comm_19_350	complete	19	9	0.4896214896214896
comm_19_351	complete	19	17	0.41414141414141414
comm_19_352	complete	19	18	0.40602284527518173
comm_19_353	complete	19	21	0.3419540229885057
comm_19_354	complete	19	12	0.4432870370370371
comm_19_355	complete	19	15	0.35699588477366256
comm_19_356	complete	19	8	0.510840108401084
comm_19_357	complete	19	29	0.3539426523297491
comm_19_358	complete	19	19	0.4081408140814081
comm_19_359	complete	19	21	0.3764367816091954
comm_19_360	complete	19	17	0.3675213675213675
comm_19_361	complete	19	13	0.38525441329179644
comm_19_362	complete	19	24	0.40186915887850466
comm_19_363	complete	19	16	0.417312661498708
comm_19_364	complete	19	27	0.30769230769230765
comm_19_365	complete	19	17	0.4431524547803618
comm_19_366	complete	19	22	0.36863966770508827
comm_19_367	complete	19	19	0.3641975308641976
comm_19_368	complete	19	28	0.34037558685446007
comm_19_369	complete	19	17	0.4355555555555555
comm_19_370	complete	19	15	0.39153439153439157
comm_19_371	complete	19	22	0.4410774410774411
comm_19_372	complete	19	14	0.45692883895131087
comm_19_373	complete	19	20	0.3934760448521917
comm_19_374	complete	19	13	0.42726231386025193
comm_19_375	complete	19	25	0.3465160075329567
comm_19_376	complete	19	17	0.4085648148148148
comm_19_377	complete	19	25	0.3625730994152047
comm_19_378	complete	19	24	0.35537190082644626
comm_19_379	complete	19	18	0.3608562691131499
comm_19_380	complete	19	27	0.3191111111111112
comm_19_381	complete	19	22	0.43478260869565216
comm_19_382	complete	19	23	0.33965672990063234
comm_19_383	complete	19	18	0.39041794087665654
comm_19_384	complete	19	16	0.3965341488277268
comm_19_385	complete	19	22	0.35499058380414317
comm_19_386	complete	19	19	0.4375715922107674
comm_19_387	complete	19	19	0.3611111111111111
comm_19_388	complete	19	19	0.37103174603174605
comm_19_389	complete	19	22	0.36744639376218324
comm_19_390	complete	19	15	0.47990543735224583
comm_19_391	complete	19	19	0.3781512605042016
comm_19_392	complete	19	21	0.34961685823754785
comm_19_393	complete	19	11	0.449438202247191
comm_19_394	complete	19	8	0.45817727840199757
comm_19_395	complete	19	16	0.45639187574671447
comm_19_396	complete	19	18	0.38259958071278827
comm_19_397	complete	19	6	0.533625730994152
comm_19_398	complete	19	10	0.4049145299145299
comm_19_399	complete	19	22	0.4004400440044005
