community	medium	size	mip	mro
comm_13_850	complete	13	21	0.39035087719298245
comm_13_851	complete	13	18	0.3759689922480621
comm_13_852	complete	13	11	0.3438818565400844
comm_13_853	complete	13	18	0.40295358649789037
comm_13_854	complete	13	13	0.3708333333333333
comm_13_855	complete	13	15	0.3398268398268398
comm_13_856	complete	13	18	0.3782051282051282
comm_13_857	complete	13	11	0.4305555555555556
comm_13_858	complete	13	7	0.4296875
comm_13_859	complete	13	7	0.49722222222222223
comm_13_860	complete	13	13	0.47512437810945274
comm_13_861	complete	13	23	0.29026217228464424
comm_13_862	complete	13	10	0.4494949494949495
comm_13_863	complete	13	13	0.40650406504065045
comm_13_864	complete	13	10	0.49739583333333337
comm_13_865	complete	13	20	0.3414634146341463
comm_13_866	complete	13	6	0.4096045197740113
comm_13_867	complete	13	17	0.3129251700680272
comm_13_868	complete	13	17	0.39864864864864863
comm_13_869	complete	13	17	0.32967032967032966
comm_13_870	complete	13	15	0.3356164383561644
comm_13_871	complete	13	14	0.47043010752688175
comm_13_872	complete	13	13	0.3786008230452675
comm_13_873	complete	13	16	0.4353233830845771
comm_13_874	complete	13	10	0.4731182795698925
comm_13_875	complete	13	15	0.3711111111111111
comm_13_876	complete	13	16	0.42567567567567566
comm_13_877	complete	13	17	0.38513513513513514
comm_13_878	complete	13	8	0.46610169491525427
comm_13_879	complete	13	9	0.4623655913978495
comm_13_880	complete	13	9	0.4222222222222223
comm_13_881	complete	13	14	0.35616438356164387
comm_13_882	complete	13	9	0.40885416666666663
comm_13_883	complete	13	9	0.47916666666666674
comm_13_884	complete	13	17	0.40909090909090906
comm_13_885	complete	13	10	0.4512820512820513
comm_13_886	complete	13	10	0.45454545454545453
comm_13_887	complete	13	19	0.41314553990610325
comm_13_888	complete	13	10	0.41911764705882354
comm_13_889	complete	13	20	0.3717948717948718
comm_13_890	complete	13	24	0.33555555555555555
comm_13_891	complete	13	22	0.3368055555555555
comm_13_892	complete	13	15	0.39634146341463417
comm_13_893	complete	13	22	0.2878787878787879
comm_13_894	complete	13	6	0.5303030303030303
comm_13_895	complete	13	13	0.46560846560846564
comm_13_896	complete	13	16	0.40990990990990994
comm_13_897	complete	13	13	0.4338624338624339
comm_13_898	complete	13	12	0.4311111111111111
comm_13_899	complete	13	13	0.4166666666666667
